TESTO,EMOZIONI
"La più bella pubblicità che abbia visto, è di una perfezione e armonia irraggiungibili!",LOVE
"La pubblicità più bella che Tim potesse fare ,i brividi la commozione per ciò che nella vita reale ancora può avvenire..il paesaggio e la musica ne fanno un teatro meraviglioso!!",TRUST - SENTIMENTALITY
Viva porto venere!,JOY
Questa è fantascienza... la tecnologia applicata alla medicina!! Lo dico come medico!!,DISAPPOINTMENT
Lo spot più bello che io ricordi... Con la lirica si vince sempre.. Grande Elina Garanca... Grazie prof. Musumeci!!!,LOVE
Sicuramente il piu' bel spot di tim.,LOVE
bellissimo straordinariamente unico ....tim ..siete i migliori.....complimenti..,TRUST
"Grande Elina Garanca con "" Mon coeur s'ouvre a toi voix"" dal Samson et Dalila .Grandissimo spot ,emozionante ,unico .",LOVE
"Uno spot pubblicitario che colpisce al cuore, location d'eccezione, musica di altra dimensione e il Prof. Musumeci di cui noi siciliani siamo orgogliosi. Grazie Tim.",TRUST - PRIDE
Senza parole bravissimi complimenti uno spot emozionante,TRUST - SENTIMENTALITY
Grande Prof. Musumeci !!,TRUST
A me ha salvato la vita ... gli devo tutto a lui ed alla sua equipe ... grazie ancora Prof. Musumeci.,TRUST
Porto Venere posto spettacolare!!!,TRUST
Spot bellissimo! Complimenti ;),TRUST
Lo spot più bello che abbia mai visto .per arrivare a quei livelli ci vorranno ancora diversi anni ma si arriverà.,TRUST
Stupenda la Musica di Saint-Saens!,TRUST
Bello questo video girato a Portovenere!,TRUST
"Strepitosa la cantante lirica....qualcuno mi sa dire chi è,? Grazie...",TRUST
veramente molto bello e molto interessante... complimenti a tim,TRUST
"Apparte la straordinaria bellezza dello spot, TIM ha fatto una cosa straordinaria..unendo l'eleganza della lirica ad un paesaggio mozzafiato e nel mentre, con molta maestria e delicatezza, dimostrare che la tecnologia 5G può permettere passi da gigante nella connessione ultra veloce con tutto il mondo..e più importante di tutto..questa è la VERA interpretazione del Giuramento di Ippocrate che ogni Dottore fa! E che forse tanti dovrebbero ricordare...bravi. Spot da 10 e lode",TRUST
Spot unico e bellissimo.,TRUST
Grande tim!!,TRUST
"Associare a Portovenere luogo bellissimo ,anke a questo spot fantastico !",LOVE
Grande Tim eccellenza italiana!,TRUST
Con il cardiochirurgo è il più bello che ho visto della tim,TRUST
Che bella Portovenere,TRUST
Piango ogni volta che lo vedo. Musica di sottofondo è purissima,SENTIMENTALITY
Tim fantastica,TRUST
Ma che musica che opera che spot !!!! un inno all'Amore …….. il Cuore ……...,LOVE
lo spot è toccante grazie anche alla potente colonna sonora tratta da Samson et Dalila con la voce del soprano Evelina Garanca…...è commovente….,SENTIMENTALITY
chi ha ideato questo spot é un genio del marketing,TRUST
"Volevo cambiare gestore, ma questo spot è stato provvidenziale per non perdere un cliente l'idea è bellissima, ma la musica del Samson e Dalila aiuta molto ❤️",LOVE
"Bello spot, veramente. Portovenere è poi stupenda. E non tutti sanno che li a pochi metri da quella chiesa, sulla grotta di byron è sepolto l'alpinista più grande di sempre. Ciao Walter.",TRUST
"in 1 minuto il direttore Luca Josi (Brand Strategy Media & Multimedia Entertainment di TIM) è riuscito a trasmettere una perfetta simbio-armonia tra l'alta tecnologia robotica e le emozioni umane. Il tutto condito con la sorprendente interpretazione del Prof. Francesco Musumeci, orgoglio siciliano, che ha davvero emozionato e la superba performance di Elina Garanča con un'aria da Sansone e Dalila, davvero molto coinvolgente. Complimenti",TRUST
E niente fa venire i brividi ogni volta che la vedo!!,SENTIMENTALITY
Portovenere fantastico... ❤️,LOVE
"Capolavoro degli spot, proiezione futuristica che fa riflettere non poco",TRUST
"La musica di questo stupendo spot è di C. Saint Saens tratto dal Sansone e Dalila : aria"" Mon coeur s'ouvre à ta voix""",LOVE
"Bello spot, ma nessuno evidenzia la meravigliosa e divina musica tratta da Samson et Dalila "" Mon coeur s'ouvre a ta voix"" - Elina Garanca",TRUST
Bellissimo spot emozionante.,TRUST - SENTIMENTALITY
...struggente...,SENTIMENTALITY
grazie e bellissimo,TRUST
Molto bello,TRUST
Brava tim complimenti,TRUST
Spot commovente e realistico. La musica fantastica.gran bel lavoro.palmina rizzo,TRUST - SENTIMENTALITY
Mi sono emozionato. Bellissimo.,TRUST - SENTIMENTALITY
Da brividi,SENTIMENTALITY
Emozionante e commovente bellissimo spot col professor Musumeci...grazie TIM,TRUST - SENTIMENTALITY
Oh Dio che bello ho pianto.,LOVE - SENTIMENTALITY
Che meraviglia...,LOVE
"Ho 58 anni e ho visto un'infinità di pubblicità, questa è veramente la migliore di tutti i tempi........",LOVE
Complimenti per lo spot. Orgoglioso di essere un cliente TIM,TRUST
Complimenti erano anni che non si vedevano pubblicità di questo calibro.,TRUST
"Mai visto nulla di simile ,spot bellissimo",TRUST
Emozionante,LOVE
"Splendido! Forse per una vecchietta poco tecnologica come me un po' difficile da interpretare, ma comunque formidabile",JOY
"Meraviglioso, ecco a cosa dovrebbe essere applicata la tecnologia",LOVE
Aria per soprano Samson e dalida di Saint samens.. Da bambino andavo a pescare con papà alla punta... Mi sono sposato li ho battezzato mia figlia li... Nella colonna sonora avevo messo i cold play... C'è n è abbastanza per dire he quel posto lo adoro,LOVE
Una degli spot più belli degli ultimi anni che abbia mai visto. Buon gusto e sentimenti in un mix perfetto. Brava Tim!!!,LOVE
Bellissimo ed emozionante!,TRUST
Musica straordinaria da brividi!!,SENTIMENTALITY
Uno Spettacolo! W il 5 G,LOVE
Portovenere ❤️,LOVE
Bravissimi....,TRUST
Bellissima la mia Liguria la Chiesa di San Pietro a Portovenere e la bellissima colonna sonora tratta da Sanson e Dalila,TRUST
"Complimenti anche per la scelta del brano musicale tratto da ""Sansone e Dalila di Saint Saens",TRUST
Un bellissimo spot emozionale capace di toccare le corde del cuore. Uno dei migliori spot di sempre. Chapeau.,TRUST
Lo spotto più bello che abbia mai visto,LOVE
"davvero bello questo spot , mi ha commosso !",TRUST - SENTIMENTALITY
Veramente veramente molto bello,TRUST
Stupenda,LOVE
"Uno spot veramente toccante,il futuro della medicina non rimarrà un sogno ma sarà la realtà.",SENTIMENTALITY - OPTIMISM
Bellissimo spot; ogni volta che lo guardo mi commuovo; complimenti alla casa di produzione,TRUST - SENTIMENTALITY
Portovenere ♥️♥️♥️♥️,LOVE
"Il più bello Spot TV dell'anno e degli ultimi anni. Stupendo e commovente. Spero che la tecnologia 5G arrivi presto perché questa che sembra una favola diventi realtà. Così il prof Francesco Musumeci, maggiore interprete dello spot, possa realmente intervenire chirurgicamente da qualsiasi posto del mondo. Grazie.",TRUST - SENTIMENTALITY
Finalmente uno spot come si deve. Brava Tim e brava la Blowupfilm che ha realizzato questo capolavoro.,TRUST
Emozionate davvero ! Uno spot che ci fa sognare un futuro con ottimismo.,OPTIMISM
La colonna sonora fa l'80% cmq bello spot,TRUST
"Spettacolare, mi fa venire i brividi.",SENTIMENTALITY
"Bellissimo lo spot.. Commovente ti tocca il cuore, peccato però che alle lobby della nostra salute non ce ne frega niente.. Basta pensare ai danni di queste tecnologie 5g sulla nostra salute. Pensano solo a riempirsi le tasche e ad avere sempre più potere. Svegliamoci!!!!!",TRUST - ANGER
Un minuto di emozioni immense. Complimenti alla Tim.,TRUST - SENTIMENTALITY
qualcuno conosce il titolo del meraviglioso brano lirico?,TRUST
Meraviglioso ed emozionante,TRUST - SENTIMENTALITY
E' MERAVIGLIOSAMENTE BELLISSIMA. IL PIU' BEL SPOT DI TIM.,TRUST
Una voce magnifica della stupenda Elina Garanča ❤️,LOVE
Una meraviglia!!!,TRUST
"Complimenti, spot significativo e toccante!",TRUST - SENTIMENTALITY
emozionante,SENTIMENTALITY
Complimenti molto toccante,SENTIMENTALITY
Portovenere e voce meravigliosi....,TRUST
Che meraviglia ha tirato fuori la tim?,TRUST
"splendida pubblicita' , la piu' bella insieme allo spot con Gandhi",TRUST
Bellissimo spot! Tim sei il n1,TRUST
Lo spot più bello della storia di TIM!,LOVE
"Spaziale, bravi veramente.",TRUST
questo spot intenerisce il cuore con una dolcezza unica.Mi pare sia tratto dalla Tosca?me lo confernate per favore?GRAZIE MOLTE,TRUST - SENTIMENTALITY
Ogni volta che vedo questo spot mi commuovo grazie TIM,SENTIMENTALITY
Bellissimo spot ♥️,TRUST
"Questa è veramente bellissima, complimenti",TRUST
"Tim è la prima azienda italiana storica e seria. Anni fa' , da piccolo , ricordo lo spot con Bocelli. Oggi , con la voce magnifica ed emozionante di soprano. Lo.spot è davvero commuovente. A proposito, di chi è questa bellissima voce? Si sa il nome del soprano?",TRUST
Finalmente una bellissima pubblicità! Molto molto gradevole,DELIGHT
Applausi e standing ovation l'aria che fa da tappeto musicale di chi è ???,CURIOSITY
Io la odio la pubblicità. Ma questo spot è bellissimo,TRUST
"Un mix azzeccato non solo lo Spot ma anche la colonna sonora per chi non la conoscesse è Samson et Dalila: “Mon cœur s’ouvre à ta voix” Il mio cuore s'apre alla tua voce,.",TRUST
"spot commovente,salvare una vita umana con un intervento chirurgico a distanza...roba che fino a qualche tempo fà era considerato fantascienza.",SENTIMENTALITY
Meraviglioso spot ... ..toccante ..Finalmente una pubblicita che sa rapire...Dal messaggio unico e profondo ...Portovenere una musica stupenda un colosso della telefonia fanno da sfondo a un uomo di immenso valore ..Grande professor Musumeci. ..Io mi inchino davanti a tutto questo Emozione pura .,TRUST - SENTIMENTALITY
Complimenti davvero emozionante bravissimi,TRUST - SENTIMENTALITY
Spot sublime. Da vedere e da ascoltare.,LOVE
è bellissimo! una delle poche pubblicità che crea emozioni infinite,TRUST - SENTIMENTALITY
"Sono certo che un'azienda milionaria abbia certamente l'interesse dell'umanità in mente, e non abbia fini di sfruttamento capitalistici. Schifosi globalisti.",ANGER
"Questo spot è ridicolo, solo propaganda degenerata. Spero che il ritorno di fiamma vi faccia tornare a fare spot decenti",OUTRAGE
"Oltretutto siete razzisti. Volete l'Italia africanizzata. Bene, non grazie ai miei soldi. Addio definitivo Lavazza",ANGER
Sono commosso,SENTIMENTALITY
con uno spot di 60 secondi disgustoso avete perso un cliente da 20 anni che consumava 12 caffè giornalieri. il caffè è buono ma lo spot fa schifo. addio,DISGUST
Sciacalli.iene.licaoni. Scegliete voi..senza offesa per loro ovviamente. .,ANGER
Propaganda multirazziale. In questo momento dove l'identità dei propoli europei è messa in pericolo una pubblicità come questa è veleno per lo spirito. Vergogna Lavazza!,SHAME
60 secondi di pura propaganda ebraica..La dissoluzione di tutte le razze è l'obiettivo degli ebrei..solo cosi arriveranno al controllo totale del mondo..lo dice il Talmud.,ANGER
W Vergnano!,DISGUST
"NWO? Vergogna, il Grande Dittatore di un Mondo con un Nuovo Ordine... Caffè scadente come la pubblicità",DISGUST
"Sicuramente non comprerò caffè Lavazza finché non smette questa pubblicità deprimente. Io compro sempre, da anni, Lavazza Oro oppure Crema&Gusto. State certi che passo a qualunque altro marchio e forse non ritorno. Licenziate quei cretini, depressi ed opprimenti pubblicitari che vi hanno proposto una campagna simile. Adatta ai sovietici, probabilmente adatta al fascismo di Conte, ma di sicuro non adatta a noi consumatori di caffè. La segnalo senza dubbio",ANGER - DISGUST
Mi piacerebbe parlare con gli operai della Lavazza per capire se in fabbrica c'è tutto quello che si dice in questo video.,ANTICIPATION
SONO UN ITALIANO E MI VERGOGNO DI QUESTA PUBBLICITA' NON COMPRERO' MAI PIU' IL VOSTRO CAFFE'.,SHAME
"Spero che il cliente rimuova al più presto questo spot. Mi dispiace, con tutto il rispetto per Chaplin, ma non c'entra proprio niente, nulla, nada, ne con l'Italia, ne con il periodo che stiamo attraversando, ne con una ditta che vende caffè e che come payoff ha Torino, Italia, 1895. Possibile che con tutte le opere italiane non ci fosse un discorso che poteva aderire alla vostra idea di ripresa?",DISAPPOINTMENT
Schifo di pubblicità satanica!! VADE RETRO!!!! SENZA DIO NON ESISTE NIENTE!!!!!,DISGUST
QUESTA PUBBLICITÀ APRE IL CUORE DELL ESSERE UMANO. GRAZIE CIARLY,TRUST
"A voi di lavazza se avete cosi poca fantasia di inventarvi una citazione e la rubate a charlie chapline almeno avete il buon senso di dirla completamente e non togliere lultima frase perche non ha nessun senso altrimenti! Lultima frase era : ""difendete la libertà invece che la dittatura"" e gia perche ormai siamo in dittatura percio avete paura di dirlo perche fate parte del sistema capre!!!",ANGER
"Riflessioni davanti a una tazzina di caffè. È strano questo nostro""Paese"" se, in un momento di grande crisi sanitaria ed economica, mentre alcuni nostri politici con modi beceri, arroganti ed ignoranti (nel senso che ignorano) non perdono l'occasione per diffamare, attaccare ed inveire a destra e a manca tutti quanti non la pensano come loro, la pubblicità di un noto caffè con le parole di un grande attore Charlie Chaplin che ha fatto ridere i bambini e riflettere gli adulti, ci parli di amore, speranza, fratellanza, misericordia, rispetto per gli altri e la natura. La pubblicità diventa mezzo per ricordarci di pensare con la nostra testa invece che con quella di molti politici ed opinionisti che gridano invettive.",TRUST
"SQUALLIDO! davvero lavazza hai fatto questo obrobrio di spot in questo periodo? che schifo, io dopo averla visto mai più comprerò Lavazza, ciao",DISGUST
"Ma ora pure il ((caffè)) deve venire a farmi la morale? Lunga vita al caffè Borbone, morte al caffè meticcio",OUTRAGE
MAI PIU' LAVAZZA!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,ANGER
Charlie chaplin era un pedofilo e questa pubblicita’ e’ vergognosa. Spero vi scoppi in faccia come e’ successo a Gillette,SHAME
"Buonismo e omosessualità non salveranno il mondo, deficienti",ANGER
Se volete un buon espresso NON comprate lavazza,DISGUST
Non ho capito perché un'azienda che vende caffè dovrebbe insegnare a me come vivere e cosa pensare. Cercate di produrre un buon caffè che agli slogan ci possono pensare altri.,DISAPPOINTMENT
"Che tristezza, a distanza di 80 anni le cose sono rimaste le stesse....la ricchezza c'è ed è sufficiente per tutti, ma i pochi massoni che governano il mondo e decidono le sorti dell'umanità non sono disposti a condividerla con gli altri....voi lo fareste? Divide et impera, così dicevano gli antichi romani, così si spiegano le continue guerre locali, opportunamente costruite dai potenti, dagli illuminati, da coloro che stanno laddove finisce l'arcobaleno. Quando Chaplin fece questo discorso (sempre che sia il suo) gli Stati Uniti non erano ancora entrati in guerra (lo faranno appena un anno più tardi), ma la seconda guerra mondiale era già iniziata. Chaplin non mi è mai piaciuto troppo come comico, ma è stato sicuramente un grande uomo....solo un grandissimo uomo poteva fare un discorso così vero, toccante e profondo.",SADNESS
Avete gia rotto le palle. Basta Ed a 0:30 guarda che coincidenza. Tra tutte le combinazioni possibili...,ANGER
Mettete anche un uomo bianco con una bella donna nera e allora vi prenderò sul serio. Fino ad allora solo Kimbo,DISGUST
"Ho condiviso questo spot anche sul mio sito. Uno spot di sessanta secondi che va ""controcorrente"" mandando un messaggio di speranza, nuovo e propositivo rispetto alle PAURE propinate in continuo dalla televisione 24h su 24. Questo grazie ovviamente al celebre ed immortale Chaplin!!! Buon caffé :-)",TRUST
Propaganda del Nuovo Ordine Mondiale. Siete disgustosi. Tra l'altro mai bevuto caffè in vita mia.,DISGUST
"Il mondo sarà migliore, se bevi lavazza.",TRUST
piu' indicato il concetto per una marca di preservativi.. non di un caffe' normale che non lo vedi neanche per un secondo..,DISAPPOINTMENT
pero` tutto sto amore nelle stazioni del nord piene di spacciatori africani non lo vedo ;( che triste.,SADNESS
Bello bello bello❤❤,LOVE
Non berrò più neanche una goccia del vostro caffè,DISGUST
Pubblicità stupenda,LOVE
"Bellissima pubblicità, è la prima ad avermi fatto commuovere...",TRUST - SENTIMENTALITY
"Good Bye old humanity, accecata dall'odio per tutto e tutti. Chaplin, negli anni Cinquanta, fu costretto, come tanti altri artisti, a lasciare gli Stati Uniti a causa del clima ostile instauratosi con la caccia alle streghe anticomunista. Perché non cercare la verità invece di voler trovare conferme a ciò che già si pensa? Usare la propria intelligenza per discernere la verità dietro ai giochi politici, di destra e di sinistra, questa rimane la grande sfida. Questa è propaganda di sinistra? Ragazzi, questo è il messaggio di Cristo e della rivoluzione francese: libertà, uguaglianza e fraternità. Io ci vedo solo del buono, buono quanto Caffè Lavazza Oro, my favourite. Che ora mi bevo alla vostra salute, augurandovi PEACE and LOVE.",TRUST
"Se una multinazionale promuove un messaggio politico, il bene per il resto della comunità starà sempre nel contrario esatto di quel messaggio. Viva l’Italia e gli italiani! Abbasso chi la vuole meticcia e in rovina!",CONTEMPT
"Vergognosi, il vostro caffè non lo comprerò mai più! Boicotta! Boicotta! Boicotta!",SHAME
"ECCO UNO SPOT A FAVORE DEL NUOVO ORDINE MONDIALE. BOICOTTIAMO LAVAZZA,NON VINCERANNO I SERVI DI ENLIL!",ANGER
che schifo,DISGUST
Perché il direttore marketing di Lavazza ci odia?,DISGUST
"Grazie Lavazza, mi avete convinto a comprare Segafredo Zanetti ;)",DISGUST
"Uno spot gravissimo, gravissimo. Poi non chiedetevi quali valori sostiene il grande capitale. Vogliono consumatori e turisti. Non patrioti. Non padri, non madri.",ANGER
Meno male che bevo segafredo zanetti.,DISGUST
Non comprerò più la Lavazza!,ANGER
"Ok ok ma dove si trova lo stereotipo di coppia interraziale preferita dai globalisti e cornuti? 0:29 ah, eccola qui ☺️",DISAPPOINTMENT
Vi consiglio di tenere la vostra propaganda globalista fuori dalle nostre pubblicità Si vede benissimo quello che davvero state cercando di promuovere...,ANGER
"Rimpiango gli spot di Nino Manfredi che si prendeva il caffè in cucina con Natalina in una atmosfera rilassata che ti trasmetteva sempre tanta simpatia e il calore di una dimensione intima e familiare tutta italiana. Questa roba anonima, invece, senza radici, senza cultura, senza tempo mi sembra così aliena, così globalizzata e fredda... a dispetto del pensiero di Chaplin che era di alti ideali (qui decontestualizzato alla grande). Cosa c'entra tutto questo spot assurdo con caffè, che nella cultura italiana è legato solitamente ad un momento di pausa, di raccoglimento? Potrebbe andar bene per la cocacola, semmai. Qui gli esperti in comunicazione hanno cannato alla grande.",SADNESS - DISGUST
Mai più Lavazza in pochi capiranno il messaggio subliminale dello spot giusto i dormienti vi plaudiranno,DISGUST
"Ehm,scusi mr lavazza ma la sua propaganda non ci frega tutti. Noi Europei abbiamo diritto ai nostri paesi e alla nostra cultura e a non diventare degli indecenti inferni misti",ANGER
"Sciacalli, vergognatevi.",SHAME
"Ricordiamo che Chaplin era massone,pedofilo, satanista e radicale... Aveva le ragioni della sua loggia per diffondere il messaggio della grande menzogna. La falsa libertà,il falso amore. QUESTO È IL MONDO DEL DEMIURGO!",ANGER
Come posso intendere che commercializzate caffè dalla vostra pubblicità? Sembra un versione video delle campagne di Questa pubblicità è talmente falsa e innaturale che mi fa vomitare,DISGUST
Ma cacciate sti 2 e ridateci Banderas con Rosita,ANGER
Bella pubblicità,TRUST
"Perchè? Sono cresciuta con le pubblicità della Mulino Bianco, erano tempi in cui la famiglia sembrava perfetta, ci faceva sognare tutto l'amore e la bontà che traspariva, ci permetteva di pensare che anche se non era perfetta la nostra famiglia si poteva sperare che almeno la vostra funzionasse... ora che razza di coppia state mostrando? Nel momento in cui ci sarebbe più bisogno di non subire quotidiane azioni di compagni egoisti, assenti, capricciosi, bugiardi e PeterPan voi ce li rifilate come cosa ""buona e giusta""? Vi rendete conto che il messaggio dato non è simpatico e scherzoso? Vi rendete conto che chi fa la spesa e acquista i vostri prodotti sono soprattutto le donne? sarebbe stato così facile farla funzionare questa pubblicità... bastava cambiare due battute e farla diventare una situazione di emergenza in cui entrambi si davano da fare, nella trasparenza delle azioni.",OUTRAGE
"Eh certo...lei lavora e lui non fa un cavolo. Questa è la visione (nostalgica) dei vostri pubblicitari, nel 2018, in cui le donne occupano tutti i posti professionali e di ricerca. Illusione, dolce chimera sei tu, che durerà ancora poco, e andrebbe davvero tenuta per sè e non fatta diventare pubblicità, che manda un messaggio. Messaggio retrogrado, degno dei vostri nonni. BASTA PUBBLICITA' SESSISTA!",ANGER
Lui fa la femminuccia e lei il maschietto. Barilla prosegue con la sua vergognosa campagna per rendere i maschietti sempre più effemminati !,SHAME
"Le mie pianelle! Ah, le sue pianelle! ciabattata in faccia",ANGER
Spot sessista denso di stereotipi di genere.,ANGER
Le donne non sono schiave. E poi 'ste pubblicità del Mulino Bianco ci sono arrivate a noia. Basta. Grazie.,ANGER
Piadelle?! Ma per piacere! Già quando le chiamano piadine è brutto. Piadelle fa rabbrividire. Se sono quelle buone e Romagnole si chiamano piade e basta!,OUTRAGE
Giuro che se non tolgono a questi due dalle pubblicità Mulino Bianco boicotto per sempre i loro prodotti...infatti non ne compriamo più...con rammarico perché sono cresciuta a pane e tegolini...ma questi mi infastidiscono parecchio..infatti quando li vedo cambio canale,ANGER
Cara Mulino Bianco perchè non rimedi? Lui avvicina Emma e le dice: Grazie tesoro: domani cucino e pulisco tutto io.,DISAPPOINTMENT
"Ma nel 2018 fa ancora ridere che Lei sgobbi tutto il tempo in cucina e che Lui si prenda dei meriti ""immeritati"" non avendo fatto niente? Io lo avrei preso a calci . Che pubblicità squallida e sessista. Svegliatevi che siamo nel 2018 , non sono gli anni 50 .",ANGER
Più che la famiglia della mulino bianco mi sembra una coppia scoppiata....,SADNESS
"Mi sembra molto la versione 2.0 di ""aó, donna, famme un panino!""Uscite dagli anni '50 per favore",DISGUST
Lei sgobba e lui porta agli amici. Ma che originale,DISAPPOINTMENT
Secondo me è abbastanza moderna. Lui è Gay e lei potrebbe essere una sua amica,DISGUST
Ma quanta antipatia mi provoca questa pubblicità? ..mi dispiace per gli attori che sono anche bravini!,TRUST - ANGER
"Scandalosamente sessista. Non è ridicola, è patetica, triste!",SHAME
"Patetica e sessista! Lei, un po' scemotta, cucina per tutti, lui, un po' vanesio e presuntuoso, si prende il merito. Un altro brutto spot!!",ANGER
Brutto e sessista. È sempre la donna che lavora e l'uomo si prende il merito. Potevate fare di meglio considerando che la spesa la fanno le donne e se si offendono cambiano marca.,ANGER
Orrenda questa pubblicità. Basta sessismo,ANGER
"Mannaggia a dio fileni, mannaggia a dio filenii",ANGER
Cazzo hanno tutti la faccia disgustata ahagahah,DISGUST
"Altro che rap o trap, il futuro della musica è qui",TRUST
"Mandatemi un aiuto, sono drogato di questa canzone haha",LOVE
"Bel jingle, bravi",LOVE
"Icona Pop, ""I love it"".",LOVE
"Agricoltori e allevatori dipinti come fossero dipendenti della stessa azienda familiare, dove si ""respira"" serenità, passione e spirito di corpo... Ma è stato alla scena delle galline ruspanti, allevate con la cura solitamente riservata agli animali domestici che scorrazzano liberi nel cortile di casa (mancava solo la carezza al polletto) che mi sono detto: <<ma l'ideatore di questo spot crede che il pubblico televisivo venga giù dalla montagna del sapone? >>. Quello che vorrei umilmente senalarvi, è che quando il ""sentiment"" preponderante è: << Guardando questo spot mi sento preso per il culo>> oppure << ma questi veramente pensano di essere credibili per una persona adulta? (è probabile che un bambino, ma solo fintanto che è incapace di calcolare i costi che avrebbe un simile allevamento se fosse vero, possa bersi un simile messaggio>> il risultato che ottenete è l'attivazione, nella testa del vs ascoltatore, di una associazione mentale tra il vs marchio ed il concetto di ""falso""... che tra l'altro va a corroborare l'opinione già molto diffusa diffusa che vede il Bio come un coacervo dilagante e difficile da accertare di frodi e imbrogli in commercio",OUTRAGE
Ballessimo,TRUST
Questa canzone dovrebbe vincere il prossimo Sanremo,LOVE
"A me il tizio col cappello all inizio incute timore, alla fine quando canta nel quadretto mi raggela il sangue nelle vene",FEAR
Geni del marketing,TRUST
"Ma nemmeno voi Fileni sapete cosa significhi bio ... Alleviamo polli a terra. I polli sono quelli che credono in voi !! Bio dal greco βίος vita e logos, studio. Tutto ciò che è vivente in un corpo animale o vegetale è biologico e degredabile nel tempo. Non capisco perché in Italia si debbano sempre storpiare i significati, il vocabolario anche!! Un pollo allevato a terra non significhi che si ciba di cibo non fertilizzato o con aggiunti di pestecidi e altre schifezze chimiche. Ma poi non ci credo. Anche perché dopo 2/3 giorni butteresti via il mangiare perché degradato. Come fa un marchio così ad essere distribuito in tutta Italia?? Ci vogliono anche 24 ore di trasposrto e ora che arriva al supermercato è ora di buttarlo via. Ma andate a cagare!",OUTRAGE
In meno di una settimana il nuovo tormentone dell'estate.,TRUST
0:28 è convintissimo l'ortolano...,DISAPPOINTMENT
"Grandissimi, ascolto sempre questa canzone e la canto sempre, è la mia canzone preferita!!!!",LOVE
Che fuori sta pubblicità,DISGUST
Porco dio fileni,ANGER
io penso che non ci sara' bio vero finche tutto sara' veramente bio perche ci sono molti fattori che annullano quello che credi bio . un vento pazzesco sposta i semi e li deposita dappertutto dove c'era il bio ci sono gli ogm pesticidi e altro.quindi io non credo al bio.,DISAPPOINTMENT
"Fa cacare, non va un cazzo in LTE velocità massima 5mb/s con copertura massima e 100 di ping con improvvisi crolli in h+ e 3g. Se non dovevo pagare 90€ per levarlo dai coglioni avevo già cambiato da un po'",ANGER - DISGUST
Che tempismo perfetto per questo spot!!,OUTRAGE
Sciacalli con la faccia d'angelo. Che scifo.,DISGUST
Ma che figo da paura è?,TRUST - SURPRISE
2 merde per provare a fare una linea decente lol,DISGUST
Uno schifo :),DISGUST
Molto belli i nuovi spot come furono i primi istituzionali tempo fa!!,TRUST
"@RXviper eh sì non è merda,1 mese e mezzo per risolvere un problema",ANGER
Fa cagare al cazzooooooooooo Non prende per un cazzooooooo,ANGER
Mi. Piace. Il. Ragazzo. Dove. Vive,DELIGHT
I peggiori gestori si uniscono per formare uno schifo ancora più grande,DISGUST
Mi fa piangere la parte in cui il ragazzo ignora suo padre!!,SENTIMENTALITY
Fa schifo il jingle! Falsi vergognatevi sai quanto ve ne frega degli esseri umani.,SHAME
"Azzeccata la canzone ""esseri umani"" in questa situazione",TRUST
Ma era difficile per il gruppo farsi anche un nuovo logo? Non capisco questa scelta di utilizzare i vecchi loghi e metterli uno accanto all’altro. Più lo vedo e più mi inorridisce,DISGUST
È una delle pubblicità più brutte mal fatta la storia non è nemmeno convivente se la guardi per ore.,DISGUST
Mamma mia ma come fa ad essere così perfetto francesco? ceh CEH VI PREGO È STUPENDO IDJDDNF,LOVE
E la più cara e che aumentano sempre,DISAPPOINTMENT
Avete FRANTUMATO I COGLIONI co sta canzone di Mengoni.. È bastaaa,ANGER
Wind+3 Italia= schifo 3 italia= TOP,TRUST - DISGUST
"A 2 giorni dal rinnovo dell' offerta all-inclusive la wind3 mi ha COATTIVAMENTE cambiato offerta in XLarge mai richiesta DEPAUPERANDOMI di 19,99 il cambio offerta, mai richiesto, + 16,99 il prezzo della nuova offerta, mai richiesta. Ho provato a contattarli dopo 19 minuti e 30 secondi il sistema é programmato per chiudere la telefonata. Li avró telefonati 8 volte...ho scritto loro delle PEC , nessuna risposta. LA WIND3 é una azienda poco seria. Ad altri amici miei é capitato ciò. Adesso a me. Non acquisterò più Windtre , adesso ho una altra sim",ANGER
Wind Tre ....Molto più vicini..?? Ma Fiorello non fa anche lo spot per non uscire di casa per il Corona virus....??!!,DISAPPOINTMENT
"Il programma winday ha rotto le scatole, meglio quando regalavano un 10% di sconto a chi ricaricava on-line o 100 euro. Bei tempi, ora solo concorsi a premi e ricariche già decurtate di un euro, bel progresso.",DISAPPOINTMENT
Lo dico a Wind fate cagare perché hai comunicato a 3 italia di unirti che ti fai schifo e la rete 3 era decisamente più veloce voglio tornare ad avere un singolo operatore 3 Italia quello che conosco e che conosciamo da 18 anni da quando è stato fondato nel 1999 3 Italia mi manca troppo e vorrei che tornasse separata da Wind è tutto come prima WINDTRE fa cagare!!!!!,DISGUST
Troppi abbracci.,DISGUST
Wind non è così una merda dipende dove abiti e se sei vicino al cabinet(fttc),TRUST
Fra hai straragione La 3 è decisamente più veloce,DISGUST
Ma che c#### dicono sta roba di wind tre che io con la tre HO sempre 100 di ping con LTE MA PERFAVORE.,ANGER
Fiorello sei un grande,TRUST
"5 mesi senza connessione nella mia zona, milioni di chiamate al call center una merda",ANGER
