,TESTO,EMOZIONI
1233,Non si capisce la scelta di un doppiaggio...brutta usanza italiota. Avrei usato un attore italiano,DISGUST
1234,0:36 in loop da 3 ore,JOY
1235,Lo trovo orribile!!!!!!! Doppiato malissimo per non parlare poi di Cracco!!!!!! Veramente penoso!!!!,ANGER
1236,Qui x la bionda nel finale e solo per lei,TRUST
1237,"Vanessa Spinola ok per gli altri paesi, ma in Italia quel tipo non si può sentire..",DISGUST
1238,"Pubblicità bruttissima e irritante, a partire dal doppiaggio incomprensibile per un prodotto italiano, l ennesimo chef che rappresenta se stesso,la sportiva che ci può stare e una inviata bordo campo Sky inutile. Improbabili richiami ad una campagna armoniosa con contorno di personaggi e recipienti di un epoca che non tornerà più, che stride con l allevamento intensivo delle vacche da latte. Per giunta la giovenca bianca non è da latte ..",ANGER
1239,"Questa pubblicità è in inglese perché gli americani non le sanno ste cose, poi è stata doppiata anche in italiano. Io la trovo carina ma si poteva fare meglio",TRUST - ANTICIPATION
1240,Una pubblicità orrenda e fastidiosa. Scusate ma non potevo non dirlo!,ANGER
1241,Immagina di svegliarti una mattina in una stanza buia legato ad una sedia e questa canzone in sottofondo riesci a slegarti cerchi una porta per uscire ma non c'é via d'uscita 7 ore di disperazione dopo cerci di ammazzarti per finire la tua disperazione sbattendo la testa piú forte che puoi sul muro ma ti fai solo male scopri che anche la morte ti ha lasciato e adesso rimarrai li per l'eternità mentre la tua sanità mentale scivola,DESPAIR
1242,Ma scivola che cosa? La merda dal culo?,DISGUST
1243,"Fortunatamente, lo spot più fastidioso della storia è stato finalmente archiviato e col finire delle feste, sono terminati anche i passaggi in TV. Spero che i geni della TIM e tutti coloro che si occupano di marketing abbiano imparato la lezione: uno spot oggettivamente orrendo ed irritante come questo, fa scappare i clienti.",DISGUST
1244,Ma cos'è sta merda fermentata? Ma che cazzo centra star wars? Perché dei robot autistici ballano? perché tutti ballano? Perché c'è Amadeus? Perché sta musica da aborto uditivo? Che cazzo sta succedendo?,OUTRAGE
1245,Sta canzone è odiosa quanto Amadeus che fa finta di saper ballare,ANGER
1246,Dopo questa pubblicità sono passato a un altro operatore. Addio TIM.,OUTRAGE
1247,"Devo dire che ha palesemente rotto il cazzo, questo è l’ultimo mese con tim, mese prossimo passo a Fastweb.",ANGER
1248,L' adsl non va: scivola scivola scivola scivola scivola cigola cigola cigola cigola La fibra non va: scivola scivola scivola scivola scivola cigola cigola cigola cigola La connessione non c'è: scivola scivola scivola scivola scivola cigola cigola cigola cigola E IO PAGO!!,ANGER
1249,Questa pubblicità potrebbe essere tranquillamente utilizzata come tortura,DISGUST
1250,"ma come si fa? fermate subito questa pubblicità, genera odio...",OUTRAGE
1251,"Ogni volta che parte sta cagata in tv ho voglia di spaccarla, ma come diavolo si fa a mandare in inda sta stronzata??!?? Ma non vi vergognate??",OUTRAGE
1252,LA PARTE DOVE AMADEUS FA LA FACCIA DA EBETE MENTRE BALLA E' IL TOP DEL CRINGE,DISAPPOINTMENT
1253,Pensavate di liberarvi di questa pubblicità dopo le feste eh? E invece no! Muhahahaha!,DISGUST
1254,testo impegnatissimo.... manco bob dylan sotto lsd...,DISGUST
1255,"Finalmenre il video Lyrics... Così possiamo seguire bene un testo degno di De Andrè Povera Mina, è passata da ""Se Telefonando"" a questo",DISAPPOINTMENT
1256,Quando vuoi fare il gingle ma la TIM ti passa solo 20 euro per il lavoro,DISAPPOINTMENT
1257,Peggio della tortura della goccia cinese,ANGER
1258,Agghiacciante,DISGUST
1259,Porca merda che incubo sto cancro di pubblicità,ANGER
1260,"Io non capisco tutta 'sta rabbia che scatenate contro questa sottospecie di spot, fa riderissimo vedere una società come la Tim che cade così in basso",CONTEMPT
1261,Che urto come cazzo si fa a mettere mi piace a questa pubblicità,OUTRAGE
1262,La canzone piú odiosa mai sentita in vita mia! PS dov'é bugo....,ANGER
1263,"Questa ""canzone"" mi ha rovinato l'esistenza",DESPAIR
1264,Pensavo che non ci potesse essere nulla di più irritante della pubblicità siam lelly kelly le tue scarpine e invece tim ce l’ha fatta complimenti vivissimi,CONTEMPT
1265,"A memoria, ricordo poche pubblicità più irritanti di questa",ANGER
1266,Che pubblicita’ idiota..e irritante...poi GnaMadeus sigilla tutto con la sua faccia da idiota.,ANGER
1267,Mi sale il crimine a furia di sentire questo SCEMPIO! CRINGE ASSOLUTO!!!,ANGER
1268,"Io detesto questa pubblicità, quando viene sulla televisione mi mette in imbarazzo ed è odiosa",ANGER
1269,"Quando sento 'sta minchiata in tv mi vien voglia di sparare allo schermo con un canne mozze. C' é da dire che, quando si tratta di rompere le palle come un branco di chihuahua aggrappato ai maroni, Tim é maestra.",ANGER
1270,"La TIM asfalta gli zebedei con i suoi spot merdosi da quando hanno avuto l'idea di quel cazzo di ballerino, CHE DEVE MORIRE.",ANGER
1271,"NE ha cantate forse 30.000 e me le sono fatto piacere tutte, ma con sta pubblicità c´è veramente da dire CHE CAGATA PAZZESCAAA!!!",DISGUST
1272,Dire che ha saturato è quantomeno riduttivo. Queste pubblicità mandate mille volte al giorno sono insopportabili ed ottengono l'effetto contrario.,CONTEMPT
1273,La demenzialità di questa pubblicità è qualcosa di irraggiungibile. Sorprende vedere tutti questi dementi danzanti tronfi della loro insipienza con espressioni da ebeti sul volto.,OUTRAGE
1274,Leggendo gran parte dei commenti mi trovo d'accordissimo. Pensavo che infastidisse solo me.,OUTRAGE
1275,Raga solo a me vengono i brividi per il disgusto quando la sento in tv ?,DISGUST
1276,Fantastico ritornello di stella stai del grande Umberto tozzi,TRUST
1277,Io oggi ho ufficialmente fatto la portabilità con un'altra compagnia telefonica,DISGUST
1278,"Per chi non lo sa è tutta colpa di ""Spider-Man: Far from Home"" che è ambientato in parte a Venezia ed ha una parte con la canzone ""Stella stai"". La TIM che ha promosso il film assillandoci a partire da quest'estate ha ben pensato di romperci i coglioni con questo remix fatto da Mina anche durante le festività natalizie.",ANGER
1279,Non riesco a smettere di cantare Scivola Scivola... Anche se questa pubblicità è una merda,DISGUST
1280,"Mi dispiace dirlo perchè ho molta stima per Mina, ma questa pubblicità è insopportabile.",TRUST - OUTRAGE
1281,"A vedere stò spot, mi viene su una roba che, al confronto, Ramsay Bolton è Bambi",ANGER
1282,E'simpatica come una cartella di equitalia...,OUTRAGE
1283,"Mina ha dato il peggio di se in questo spot , no seriamente, grande cantante con tanti successi tra cui il famoso spot con ""All Night"" e mi viene fuori con questo disgusto uditivo? A questo giro è Scivolata",DISGUST
1284,Riesco a sentire la traballante dentiera di quella megera di Mina,DISGUST
1285,Una delle pubblicità più odiose di tutti i tempi. E la dovremo subire almeno fino all’Epifania!,ANGER
1286,Riesco a sentire la dentiera di Mina ogni volta che fa ”schivola”,DISGUST
1287,Un vero e proprio attentato al sistema nervoso centrale... forse ci sono gli estremi per una denuncia alla Tim...,OUTRAGE
1288,Credo sia giunta l'ora di dissotterrare il mio lanciafiamme,ANGER
1289,"Pubblicità talmente demenziali che mette a dura prova persino gli utenti più fedeli. Con questi spot io alla tim non passerei mai, neppure se facessero tariffe gratis.",OUTRAGE
1290,Fanno la pubblicità della coop col carrello che va ovunque pure nel mare... Son stato l'altro giorno non andava neanche trainato da un tir con le ruote che si bloccavano!!! Peggio delle mie gambe... La coop sei tu.,OUTRAGE
1291,Una delle pubblicità più belle degli ultimi anni. La Coop siamo noi,TRUST
1292,"Spero che le associazioni di categoria di agricoltori, allevatori e veterinari (che lavorano seriamente, rispettando i lavoratori, il benessere animale e usando con cognizione di causa fertilizzanti e agrofarmaci) vi portino via anche le mutande per averli diffamati tutti quanti, in un modo così subdolo. Vergognatevi.",SHAME
1293,Io sono quì per la canzone ahahahah,JOY
1294,Cominciate a vendere frutta e verdura senza i bollini COOP (di plastica) su OGNI frutto che vendete! Perché lo fate...? non ha nessuna utilità! L'ho fatto presente decine di volte e mi rispondete sempre che è marchio qualità! Di cosa parliamo?,OUTRAGE
1295,Bellissimo,TRUST
1296,a me fa piangere ❤,LOVE - SENTIMENTALITY
1297,ma che CAVOLO di pubblicità è????? per me questa è diffamazione per ogni contadino e allevatore italiano... ma a voi cosa frega? prendete tutto all'estero...,OUTRAGE
1298,Tutti a fare i complimenti al carrello ma non sanno che a casa si ubriaca bestemmia e picchia la moglie e i bambini.,DISGUST
1299,"Penso che questo sia diventato il mio spot preferito, in generale, in assoluto. Guardarlo mi mette tranquillità, e mi fa riflettere. Ogni scena è semplicemente splendida. La canzone anche. Non voglio immaginare quanto ci sia voluto per produrlo. Davvero complimenti, tutto il mio rispetto e tutta la mia ammirazione. Esiste un Oscar per le pubblicità? No perché sicuramente dovrebbe andare a voi.",LOVE
1300,Mi fa commuovere ogni volta. <3,SENTIMENTALITY
1301,Capolavoro!,LOVE
1302,"Davvero bella, complimenti...oltre che molto originale, ogni volta che la trasmettono la guardo volentieri, e non mi stanca come la maggior parte delle pubblicità",TRUST
1303,Ottimo spot! Fa riflettere e sensibilizza. Bravissimi,TRUST
1304,Che bella pubblicità! Grazie per il vostro impegno nel garantire trasparenza e pulizia.,TRUST
1305,"Ennesimo attacco gratuito e falso all'agricoltura con le immagini delle irroratrici e degli operatori con le tute e maschere anticontaminazione. A parte che quando si usano le irroratrici c'è solo l'operatore che guida la macchina, vorrei capire come vengono prodotti i cereali e le verdure sul bancone della Coop.....con lo Spirito Santo?",OUTRAGE
1306,"questi fanno ridere, sono dei falsi, considerato che vendono cane halal, è una grandissima sofferenza per gli animali",ANGER
1307,"Se avró una seconda vita voglio essere quel carrello, quanto è fiero сazzo",TRUST
1308,Dico solo una cosa a coop italia siamo stufi di essere discriminati così questa è un indecenza non si è mai visto 5/6 botti che diserbano le stesse file eliminate questo video fate piu bella figura,ANGER
1309,"Ragazzi è tutto marketing, fanno una pubblicità ai limiti del passabile ma consentita (se sono furbi lo è) così la gente ne parla, la divulga e riesce nel suo intento.",DISGUST
1310,Bellissima pubblicità per sensibilizzare! Grandi Coop!,TRUST
1311,"Complimenti a Coop che fa passare ancora una volta l’agricoltura italiana per una agricoltura malsana, che usa fertilizzanti e prodotti chimici a dismisura, ma che pesca senza nessun problema nei mercati mondiali dove non c’è controllo e tutela del consumatore.. continuare a tutelare il vostro bilancio e non la forza agricola de paese e tanto meno la salute dei vostri clienti!",ANGER
1312,"A tutti quelli che muovono critiche non riuscendo a vedere aldilà del proprio naso , questo è uno spot che mira a sensibilizzare sui temi ambientali, su come volendo sia possibile contribuire ognuno di noi a essere più consapevoli e attenti all’ambiente. Se non vi piace guardatevi quello dell esselunga il cui messaggio è : guardate quanto siamo bravi belli e cazzuti.",TRUST
1313,La natura è importante è mi piace. basta che davvero importino alla natura,TRUST
1314,Pubblicità geniale! Grazie Coop!,LOVE
1315,bello spot. sarebbe però da capire se i contratti della coop con i fornitori siano effettivamente migliori di quelli che nella grande distribuzione obbligano spesso agricoltori e allevatori a comportamenti poco etici per evitare di fallire,CURIOSITY
1316,Voglio vedere quanto durano quei pomodori senza diserbanti,ANGER - ANTICIPATION
1317,E comunque è inutile che fermano i trattori,PESSIMISM
1318,Sono un un'agricoltore fiero e consapevole...e mi fate schifo per la diffamazione presente in questo spot...ho più rispetto per una carriola di letame...vergognatevi,SHAME
1319,Finalmente uno spot di alto livello. Molto bello anche il riferimento a Tienanmen. Bravi!,TRUST
1320,Figo!,LOVE
1321,Bellissimo spot !,TRUST
1322,Complimenti. Bellissimo. Mai visto una pubblicità così bella in tv!,TRUST
1323,Secondo me questa pubblicità fa capire quello che sta succedendo nel mondo e la COOP da anche lei una mano. L'obbiettivo in questi anni è trasformare alcuni prodotti da normali a biologici che non imparino troppo la terra e l ambiente in cui viviamo perciò bisogna anche usare e scoprire le nuove tecniche di packaging biodegradabile per poi invece di buttare l'imballaggio in mare si potrà con questo creare energia o dar da mangiare ai pesci. Anche le galline che vengono liberate significa che anche se ce scritto nel packaging che vengono allevate a terra non significa che stanno all'aperto ma che si trovano in dei capanni ammassate. Solo l'allevamento biologico garantisce che il pollame stia fuori a razzolare Per il resto e una buona pubblicità.,TRUST - SADNESS
1324,Viene messa in ridicolo l agricoltura secodno voi si mettono in fila a 5 i trattori per diserbare non spariamo cavolate mio padre e agricoltore e in piu se volete i vermi nelle vostre care verdure accomodatevi pure,ANGER
1325,Bellissima canzone e insegnamento,TRUST
1326,"Pubblicità INDEGNA! VERGOGNA COOP,  COVO DI COMUNISTI INFAMI! W l'agricoltura italiana fatta di gente per bene e rispettosa! Mai andato coop (rossi comunisti) e mai ci andro'!",ANGER
1327,È la cosa più idiota della storia della pubblicità. Solo in Italia,DISGUST
1328,"Il benessere degli animali. Col cazzo, ridicoli.",ANGER
1329,bravi,LOVE
1330,"L'ho guardata e riguardata.....ma giuro, quando vedo la scritta coop l'unica che mi viene in mente è una spiacevole e disperata campagna di consensi per la sinistra i quali credono che se si fanno vedere sensibili al tema dell'inquinamento.....forse......forse..... Prendono voti.....quando loro stessi sono stati i primi a consumare i poteri bancari finonal fallimento e di conseguenza le aziende.....che non hanno mai potuto investire in nuovi progetti come primo punto di sviluppo era l'impatto con l'ambiente.....",ANGER
1331,"Stupendo, complimenti al team del marketing!",JOY
1332,"Vogliono combattere lo sfruttamento in agricoltura ma sono i primi a sottopagare tutti i prodotti alimentari... bravi, proprio così si fa!",ANGER
1333,"Mi sembra una pubblicità totalmente ingannevole... l'agricoltura brutta e cattiva che inquina e la GDO che salva tutti... mi spiace ma le cose non stanno così. L'agricoltore è il primo che vuole preservare la terra e lavora duramente per sfamare miliardi di persone, ricavandoci il minimo per sopravvivere. La GDO invece non mi pare che faccia altrettanto quando paga ad un allevatore il latte a 25 centesimi al litro e lo rivende sugli scaffali a 1,50 (+500%) pagando una miseria operatori, cassieri, e lavoratori in generale.",ANGER
1334,"Questo è uno di quegli spot che mi fanno esclamare ""ma chi vuoi che ci creda?!""",ANGER
1335,"Per me è lo spot più bello degli ultimi anni. Non sto a puntare il dito, non giudico chi fa cosa, come sono fatti i prodotti della coop, cosa fa la GDO, chi fa ammalare la terra nello specifico, se sono italiani o stranieri. Penso potrebbe essere un ottimo spunto di riflessione per tanti, dal momento che tutti compriamo i prodotti e magari talvolta siamo poco attenti. Tutto qui. Le ""accuse"" sono reali e il contenuto di questo messaggio va preso così com'è e fatto proprio, almeno per come lo vedo io.",TRUST
1336,Questa è senza dubbio la miglior pubblicità degli ultimi anni. Complimenti!,TRUST
1337,"Ma che si sono svegliati tutti insieme!? Penso che ci stiano prendendo leggermente per il culo Quando vedo queste pubblicità mi viene il vomito Andate a vedere gli sprechi di mangiare, di imballi sia di plastica che di cartone che fanno sia Coop che tanti altri centri commerciali. E poi mi vengono a fare la pubblicità sull inquinamento.",DISGUST
1338,Vorrei stringere la mano a chi ha fatto questa pubblicita... Geniale,TRUST
1339,"Mmm, quindi le singole insalate imbustate, e tutta la frutta e la verdura in vassoi di poliestere che vedo da coop devo essermela sognata... ma per favore.",CONTEMPT
1340,Sta pubblicità è la vita,TRUST
1341,"Mi vergogno personalmente per la falsità di questa pubblicità, spero qualcuno faccia qualcosa perché non penso abbiate il diritto di sparare cazzate come vi gira Un esempio 0:45 Spero subisca una denuncia questa pubblicità",ANGER
1342,"Pubblicità rivoltante, che insulta l'umana intelligenza. La grande distribuzione é la principale responsabile dell'inquinamento da plastica (tutto quello che si acquista alla coop é rivestito da plastica non biodegradabile e spesso nemmeno riciclabile). Adesso pure si vantano di fare la pasta all'uovo con uova da allevamento a terra, mostrando nella pubblicità galline felici che razzolano nell'erba verde, quando in realtà le galline allevate a terra sono stipate in capannoni bui senza neanche lo spazio per girarsi. Coop sinonimo di menzogne.",CONTEMPT
1343,greenwashing... ipocrisia allo stato puro.,CONTEMPT
1344,QUESTO VUOL DIRE PRENDERE IN GIRO GLI AGRICOLTORI,CONTEMPT
1345,"https://www.youtube.com/watch?v=OdOYQUJaEag Noto una certa somiglianza di soggetto e sceneggiatura, tra l'altro nel video del 2013 la musica è anche più bella :D",DISAPPOINTMENT
1346,"Vista al cinema nelle pubblicità prima di Joker, mai riso così tanto. Il momento top è quando pensi che il cartello si stia per suicidare buttandosi dalla scogliere. Ho pianto dal ridere",JOY
1347,Che pagliacciata...,CONTEMPT
1348,"Questa pubblicità fatta così, con questa bella canzone mi commuove ,mi fa pensare ...",SENTIMENTALITY
1349,Vorrei dire soltanto una cosa a @coopitalia di cancellare dallo spot quella parte indecente dove si vedono gli agricoltori che con ben 4 botti disertano la sessa fila noi agricoltori siamo stufi di essere discriminati per questo sia chiaro noi non inquinano il mondo,ANGER
1350,cominciamo con dare degli scontrini con meno carta!!!Anche se spendi poco ti viene consegnato un km di scontrino!!!!!,ANGER
1351,Ma andate a cagare !!!!!,ANGER
1352,"Bellissima pubblicità.. mi ha fatto piangere un carrello della Coop! Voi che potete farvi sentire, non mollate. Sensibilizzate le persone e non date spazio alla crudeltà. Gli italiani vi sceglieranno proprio per questo. Un abbraccio, bellissimo messaggio.",TRUST - SENTIMENTALITY
1353,"Gente, non badate al fatto se c'è qualcosa di falso all'interno di questo spot pubblicitario, perché a parer mio é uno dei più belli fatti in questi ultimi anni dato che mostra la realtà dei fatti: La nostra casa sta per crollare. Questo spot pubblicitario potrà anche contenere delle piccole clip false ma vuole far capire che ognuno potrebbe fare qualsiasi cosa per migliorare la situazione che si presenta tutt'ora.",TRUST
1354,Che bella questa pubblicità ❤❤,LOVE
1355,COME DIRE TUTTO SENZA UNA PAROLA,TRUST
1356,"Vorrei che fosse la verità perché 1gli agricoltori sono delle persone che si impegnano per gli altri, la maggior parte di loro vendono 5 volte in meno del guadagno normale e 2 quindi cocomeri, insalata, funghi... in contenitori di plastica me li sono inventata e la frutta e verdura con l'adesivo in plastica come per esempio Melinda e le buste dove ci metti ortaggi frutta e verdura spero che la Coop decide davvero di togliere tutta questa plastica,ma comunque bel video significativo peccato che niente di tutto ciò è vero. Se dovete iniziare mettete l'acqua nelle bottiglie di vetro,togliere gli involucri dai cocomeri, insalata,funghi,..non mettete più gli adesivi e le buste di plastica, questo è già un passo avanti.",LOVE
1357,"Molto carino questo spot. Nel 2004, nel mio piccolo, girai un cortometraggio sperimentale ""LA PRIMAVERA DI UN CARRELLO"" in cui il protagonista era proprio un carrello per la spesa che prendeva vita (ispirato a sua volta ad un mio racconto pubblicato). Ecco il link: https://www.youtube.com/watch?v=Rnv7aXBxZwU&t=14s",LOVE
1358,Non capisco cosa c’entra un treno a diesel americano con il tema del rispetto dell’ambiente,DISAPPOINTMENT
1359,"Questa pubblicità è molto bella. Sicuramente andrò a fare una spesa alla Coop per premiarvi, anche se di strada per dove abito non mi è comoda. E non è una battuta.",TRUST
1360,Quelli che scrivono bellissima pubblicità secondo me non hanno mai messo piede in campagna e di conseguenza non sanno come funziona,DISAPPOINTMENT
1361,Si però levate questa canzone brutta e patetica in sottofondo .. Non se può senti,DISGUST
1362,Che spot del cazzo più fake di così non si poteva fare,ANGER
1363,La gdo lo cambia il mondo in peggio però,FEAR
1364,"Grazie coop per far rendere ridicoli gli agricoltori , grazie davvero!",CONTEMPT
1365,"Basta non andare a fare la spesa alla coop, risolto",ANGER
1366,Bel video molto bello,TRUST
1367,Vi voglio bene <3,LOVE
1368,guardo e riguardo questa clip... è poesia..,SENTIMENTALITY
1369,"Il problema di fondo è che è proprio la grande distribuzione, quindi anche COOP, ad essere uno dei maggiori responsabili dei problemi che il carrello magico vorrebbe risolvere! Va cambiato integralmente il modo di produrre e distribuire i prodotti alimentari, non più su scala globale ma locale. Finché COOP e gli altri marchi venderanno le noci australiane o le mele cilene in Italia o gli ortaggi biologici a 5 euro/kg, scusare ma di cosa stiamo parlando? Questo spot è solo fumo negli occhi ed una misera operazione di cosmesi nemmeno tanto riuscita...",OUTRAGE
1370,Vorrei sapere quante tasse paga la coop e quante di queste ne evade...,PESSIMISM
1371,"Chi ha fatto questa pubblicità è un genio della creatività, complimenti.",LOVE
1372,"A questo punto dell'esistenza terrestre è necessario tutti insieme senza distinzione di credo optare per una linea comune sulla salvaguardia del nostro pianeta e di conseguenza della nostra salute. Questo spot come ho letto in diversi canali non credo sia coraggioso, ma bensì un focus preciso su ciò che Coop in questo caso si impegna a fare quotidianamente e che ogni organizzazione sensibile dovrebbe fare.",TRUST
1373,Da Oscar,LOVE
1374,"Invece di criticare questo spot, tutta la grande distribuzione dovrebbe essere come la Coop che nei suoi prodotti a marchio è sempre all' avanguardia contro pesticidi, fitofarmaci ed è contro lo sfruttamento della manodopera..",LOVE
1375,"L'impegno di coop per l'ambiente è noto da tempo per me, per quello sono orgoglioso di essere un vostro cliente",LOVE
1376,"Anche a voi piace passare per ecologisti col cul@ degli altri!! Dare la colpa agli agricoltori per esempio, è facile e si fa da sempre, poi i prodotti bio li lasciate marcire, perché il cliente accontenta solo l’occhio...",ANGER
1377,ma costano €3 e ci sono nella confezione 25 biscotti,DISAPPOINTMENT
1378,71 kal per biscotto no grazie non voglio diventare obeso,FEAR
1379,Qualcuno sa il nome del ragazzo di questo spot? Penso di essermi innamorato..,LOVE
1380,@Christian 09 vero e sono davvero buoni,LOVE
1381,No ma dai un morso più piccolo diocan così ci metti 2 anni a finire un cazzo di biscotto,ANGER
1382,"Geniali , buonissimi e fantastici . Nutella biscuits sono i Number One",LOVE
1383,Io lo chiamo il biscotto definitivo.,LOVE
1384,eh ho capito ma io non li trovo da nessuna cazzo di parte,ANGER
1385,Porco dio sono usciti e porco Gesù costano 5€ e non si trovan dio cane,ANGER
1386,Wuau! Risparmio di comprare le fette biscottate e di sporcare le posate per splamare la Nutella,TRUST - SURPRISE
1387,Li sto mangiando ora. CHE BONTAAAAAAAAAA,JOY
1388,Io oggi li ho trovati e sono buonissimi,TRUST
1389,musica non azzeccata,DISGUST
1390,Perchè sono introvabili,SADNESS
1391,Molto buoni.,LOVE
1392,10 anni x crearli x poi essere uguali ai baiocchi....mah!!!,DISAPPOINTMENT
1393,PERCHÉ LA MIA BANCA É inDIFFERENTE,ANGER
1394,"Vorrei conoscere il genio che ha partorito questo spot. ""Noi di Mediolanum siamo al vostro fianco"" e invece di andare incontro alle esigenze del cliente e ad assisterlo in questo momento particolare, magari pensando a qualche agevolazione finanziaria, loro invece che fanno? Te chiedono i soldi! Complimenti, proprio un bel modo di ""coccolare"" il cliente",OUTRAGE
1395,"C'è gente negli ospedali che lavora sodo rischiando la propria vita per tentare di salvarne altre, c'è gente che perde qualche proprio caro senza poterlo salutare e fargli un funerale. Ci sono, invece, sciacalli che sfruttano spudoratamente le tragedie altrui che, con la scusa di aiutare gli ospedali, cercano nuovi clienti: potevano mettere in sovrimpressione direttamente l'IBAN per fare una donazione se veramente gli interessava aiutare gli ospedali o la Protezione Civile. Secondo me, complici anche le emittenti che lo consentono.",SADNESS - ANGER
1396,Si certo so la caritas loro,DISAPPOINTMENT
1397,"Ma fatemi il piacere...altro che ""al vostro fianco"", voi banchieri siete dei porci schifosi. Dev'essere facile la vita per voi PORCI e le vostre famiglie, vergognatevi",SHAME
1398,Insieme (non) ce la faremo,PESSIMISM
1399,Nn compro mai prodotti di qualsiasi genere che sono pubblicizzati da personaggi famosi...in particolare di quei personaggi che sai in partenza che del prodotto nn gli frega nulla e che nn lo avranno nemmeno mai comprato....soldi solo soldi contano x loro!!,CONTEMPT
1400,Meritiamo l'estinzione.,PESSIMISM
1401,Anche questo costerà 8€ come l’acqua ferragni,OUTRAGE
1402,Ma per carica!!!!!!! Non vi comprerò mai più,ANGER
1403,Cosa me ne frega costano 2 € in più degli altri sono più buoni quelli tarocchi,TRUST
1404,No vabbè..... anche no... pietà .,DISGUST
1405,Da notare la mano destra immobile che tiene il biscotto ahah,JOY
1406,La Chiara Ferragni è proprio una mamma carina! Fedez è molto fortunato ad averla! W Chiara e Oreo,TRUST
1407,Il nome della riccia? La venerabile che a 0:03 passa e ti fa tornare vivo.,DELIGHT
1408,Quanta cafonaggine in questa pubblicità,DISGUST
1409,"Comunque sono tutte cavolate ke costano uguali. ..io ero al supermercato,non dico quale x non fare pubblicità. .. e ho visto chiaramente ke gli oreo standard avevano un costo,mentre quelli della ferragni erano in un altra scatola e costavano un po di più rispetto agli altri...",DISAPPOINTMENT
1410,Un buon motivo per non comprarli..ma il mondo e' pieno di capre se non vi dicono cosa fare..cosa comprare ..non riuscite a farlo da soli..ridicoli,ANGER
1411,Poveri noi..,PESSIMISM
1412,"Da questo momento torno a comprare i Ringo, non comprerò mai prodotti sponsorizzati da Chiara Ferragni.",DISGUST
1413,Alla fine ho comprato gli oreo di chiara ferragni credevo che il gusto del oreo era diverso ma era sempre uguale era solo firmato da chiara ferragni.,DISAPPOINTMENT
1414,Pubblicità di meda,DISGUST
1415,Appena parte lo spot cambio canale,DISGUST
1416,Ma quanto è bella la vorrei sposare,TRUST
1417,Il nulla fatto persona,DISGUST
1418,Pubblicità stupenda.,TRUST
1419,"La cosa che nessuno menziona, anziché soffermarsi solo su di lei, è che il ricavato della collezione dei vestiti da lei creata è andata in beneficenza. Forse sono queste le cose da sottolineare anziché i gusti personali e invidiosi di tanti, solo perché lei riesce su ogni cosa che fa e strategicamente pianifica.",TRUST
1420,Comunque meglio i Ringo.,DISGUST
1421,Ma perché a 30 anni suonati parla come un'adolescente?,DISAPPOINTMENT
1422,Questi due idioti hanno fatto in modo che non comprassimo più prodotti Mulino Bianco,ANGER
1423,"Mi dispiace molto ma avete sbagliato interpreti ma soprattutto la storia....vi prego, vi scongiuro CAMBIATE!!!! sta pubblicità non si può vedere....",DISGUST
1424,Sono deprimenti,SADNESS
1425,ROSSSSSSITA ROSSSSSSITA La rivoglio,DISAPPOINTMENT
1426,Ma così buone che si mangiano con il guscio...,DISGUST
1427,Per favore abbiate pietà! I nuovi spot non si possono guardare !,DISGUST
1428,Se Mulino Bianco ha pagato a quelli due ha preso enorme fregatura. Secondo me quelli due devano pagare a Mulino Bianco perche hanno danneggiato la sua immagine.,DISAPPOINTMENT
1429,Rosita a confronto è molto meglio,DISAPPOINTMENT
1430,erano per i baiocchi !!  il senso è che nei biscotti non ci sono entrate perché troppo buone?,DISGUST
1431,Ma mangiano le nocciole con tutto il guscio?,SURPRISE
1432,Non capisco cosa avranno queste pubblicità per essere tanto criticate,DISAPPOINTMENT
1433,Ma questi mangiano nocciole con tutto il guscio? speriamo che lo tolgano per fare i biscotti ...,DISAPPOINTMENT
1434,Ridateci Rossita!!!!!!!!!,DISAPPOINTMENT
1435,non mi sembrano da buttare,TRUST
1436,cioè ma fate questi spot per farvi schifare?,DISGUST
1437,non vedo l'ora che questa cretina in questa pubblicità penosa sparisca dalla faccia della tv. La detesto cazzo,AGGRESSION
1438,"Cioè non solo è copiata da una canzone anni '80, ma quella stessa canzone è la fottuta ending della terza stagione di Jojo???? È tutto collegato",DISGUST
1439,Imbarazzante.,SHAME
1440,"State rovinando la canzone,maledetti",ANGER
1441,non si può veramente vedere,DISGUST
1442,Non so se fa più schifo la canzone o il passetto...,DISGUST
1443,Bello plagiare le canzoni?,OUTRAGE
1444,imbarazzante,SHAME
1445,ennesima pubblicità demenziale,DISGUST
1446,Avete copiato la sigla finale di jojo,DISAPPOINTMENT
1447,Volete farvi denunciare per plagio? Questo è il sound di Walk like an Egyptian,SURPRISE
1448,Spot orribile e anche chi lo fa,ANGER
1449,"Questa qua che fa il "" passo del pinguino"" è una dei personaggi più odiosi della storia degli spot. Canzone altrettanto ipocrita, il cioccolato non da buonumore ma provoca dipendenza.",ANGER
1450,Voglio imparare questo passo del pinguino...! Che spasso! Bravi... ottima trovata!,TRUST - JOY
1451,"Rivogliamo Banderas a fare fa pubblicità della mulino bianco, penso di parlare a nome di molti.",DISAPPOINTMENT
